invoice_no,sale_date,sale_time,customer_id,drug_code,product_name,batch_no,storage_location,quantity,unit,unit_price,total_amount,gross_profit,วันสำคัญ,holiday,อุณหภูมิ,ปริมาณน้ำฝน
BL201231-005,2020-12-31,9:03,C01-0000,A0178,Ampicillin 500 mg,P201201-0038,F2,10.0,เม็ด,4.0,40,23.2,วันสิ้นปี,True,24.4,0.0
BL201231-006,2020-12-31,9:59,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,2.0,แผง,20.0,40,30.4,วันสิ้นปี,True,24.4,0.0
BL201231-006,2020-12-31,9:59,C01-0000,E0055,Extorant tablets,P190813-0001,B1,1.0,แผง,35.0,35,27.0,วันสิ้นปี,True,24.4,0.0
BL201231-007,2020-12-31,10:10,C01-0000,E0050,EXLUTON,P201201-0075,F2,2.0,แผง,120.0,240,68.0,วันสิ้นปี,True,24.4,0.0
BL201231-010,2020-12-31,10:32,C01-0000,M0217,Minra  60 ml ส้ม,P201222-0049,B1,1.0,ขวด,50.0,50,22.0,วันสิ้นปี,True,24.4,0.0
BL201231-011,2020-12-31,11:02,C01-0000,C0142,CETRIzin แผง,P201201-0005,F2,1.0,แผง,20.0,20,13.6,วันสิ้นปี,True,24.4,0.0
BL201231-012,2020-12-31,11:13,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันสิ้นปี,True,24.4,0.0
BL201231-017,2020-12-31,12:03,C01-0000,C0173,Cephadol,@PS-000595,B1,1.0,แผง,30.0,30,30.0,วันสิ้นปี,True,24.4,0.0
BL201231-024,2020-12-31,13:39,C01-0000,B0071,BENDA 500,P201124-0040,B1,1.0,แผง,30.0,30,15.17,วันสิ้นปี,True,24.4,0.0
BL201231-024,2020-12-31,13:39,C01-0000,M0217,Minra  60 ml ส้ม,P201222-0049,B1,1.0,ขวด,50.0,50,22.0,วันสิ้นปี,True,24.4,0.0
BL201231-031,2020-12-31,14:44,C01-0000,G0091,gaviscon  ชมพู ซอง,P201215-0057,F2,2.0,ซอง,30.0,60,16.0,วันสิ้นปี,True,24.4,0.0
BL201231-039,2020-12-31,17:03,C01-0000,C0142,CETRIzin แผง,P201215-0061,F2,1.0,แผง,20.0,20,13.6,วันสิ้นปี,True,24.4,0.0
BL201231-040,2020-12-31,17:17,C01-0000,C0142,CETRIzin แผง,P201215-0061,F2,2.0,แผง,20.0,40,27.2,วันสิ้นปี,True,24.4,0.0
BL201231-043,2020-12-31,17:53,C01-0000,C0142,CETRIzin แผง,P201215-0061,F2,1.0,แผง,20.0,20,13.6,วันสิ้นปี,True,24.4,0.0
BL201231-044,2020-12-31,18:02,C01-0000,D0189,DIANE 35,P201230-0007,F2,1.0,แผง,190.0,190,27.0,วันสิ้นปี,True,24.4,0.0
BL201231-046,2020-12-31,18:22,C01-0000,C0142,CETRIzin แผง,P201215-0061,F2,1.0,แผง,20.0,20,13.6,วันสิ้นปี,True,24.4,0.0
BL201231-048,2020-12-31,18:34,C01-0000,C0142,CETRIzin แผง,P201215-0061,F2,1.0,แผง,20.0,20,13.6,วันสิ้นปี,True,24.4,0.0
BL201231-049,2020-12-31,18:54,C01-0000,I0108,Ibrofen 600 TO แผง,P201215-0028,F2,1.0,แผง,40.0,40,26.0,วันสิ้นปี,True,24.4,0.0
BL201231-052,2020-12-31,19:43,C01-0000,D0169,Diarine,P180419-0021,F2,1.0,แผง,20.0,20,16.5,วันสิ้นปี,True,24.4,0.0
BL201231-054,2020-12-31,19:53,C01-0000,C0142,CETRIzin แผง,P201215-0061,F2,2.0,แผง,20.0,40,27.2,วันสิ้นปี,True,24.4,0.0
BL201231-054,2020-12-31,19:53,C01-0000,A0158,ยาคุม ANNA 28 เม็ด,P201110-0017,F2,2.0,แผง,35.0,70,21.6,วันสิ้นปี,True,24.4,0.0
BL201230-002,2020-12-30,8:39,C01-0000,D0174,DIFELENE  50 MG 10'S,P201222-0022,F2,1.0,แผง,35.0,35,19.0,วันหยุดพิเศษ,True,24.4,0.0
BL201230-005,2020-12-30,9:59,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันหยุดพิเศษ,True,24.4,0.0
BL201230-008,2020-12-30,10:17,C01-0000,D0167,DexOph 4 ml.,P201201-0013,F2,1.0,ขวด,40.0,40,20.42,วันหยุดพิเศษ,True,24.4,0.0
BL201230-009,2020-12-30,10:20,C01-0000,C0142,CETRIzin แผง,P201201-0005,F2,1.0,แผง,20.0,20,13.6,วันหยุดพิเศษ,True,24.4,0.0
BL201230-009,2020-12-30,10:20,C01-0000,T0181,Terbutaline Tablets 2.5mg. แผง ขยายหลอดลมT.O,P200114-0054,F5,1.0,แผง,45.0,45,42.8,วันหยุดพิเศษ,True,24.4,0.0
BL201230-010,2020-12-30,10:25,C01-0000,D0178,DIORA 21'S,P201103-0012,F2,1.0,แผง,70.0,70,34.0,วันหยุดพิเศษ,True,24.4,0.0
BL201230-012,2020-12-30,10:30,C01-0000,B0071,BENDA 500,P201124-0040,B1,1.0,แผง,30.0,30,15.17,วันหยุดพิเศษ,True,24.4,0.0
BL201230-012,2020-12-30,10:30,C01-0000,B0072,BENDA น้ำ 12X30 CC,P200908-0049,B1,1.0,ขวด,40.0,40,20.5,วันหยุดพิเศษ,True,24.4,0.0
BL201230-018,2020-12-30,12:20,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันหยุดพิเศษ,True,24.4,0.0
BL201230-021,2020-12-30,14:08,C01-0000,G0090,Gofen 400,P201230-0001,F2,1.0,แผง,100.0,100,20.0,วันหยุดพิเศษ,True,24.4,0.0
BL201230-037,2020-12-30,16:15,C01-0000,D0189,DIANE 35,P201230-0007,F2,1.0,แผง,190.0,190,27.0,วันหยุดพิเศษ,True,24.4,0.0
BL201230-038,2020-12-30,16:31,C01-0000,B0040,Bisolvon EX 60 cc,P201118-0063,F2,2.0,ขวด,65.0,130,38.0,วันหยุดพิเศษ,True,24.4,0.0
BL201230-039,2020-12-30,16:34,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันหยุดพิเศษ,True,24.4,0.0
BL201230-040,2020-12-30,16:41,C01-0000,O0045,Omeprazole GPO,P201208-0014,F2,1.0,แผง,40.0,40,32.5,วันหยุดพิเศษ,True,24.4,0.0
BL201230-044,2020-12-30,17:34,C01-0000,H0045,HISTA OPH  5CC เล็ก,P201201-0012,F2,1.0,ขวด,45.0,45,19.5,วันหยุดพิเศษ,True,24.4,0.0
BL201230-046,2020-12-30,17:35,C01-0000,G0090,Gofen 400,P201230-0001,F2,2.0,แผง,100.0,200,40.0,วันหยุดพิเศษ,True,24.4,0.0
BL201230-052,2020-12-30,18:48,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันหยุดพิเศษ,True,24.4,0.0
BL201230-054,2020-12-30,18:50,C01-0000,A0175,Amoksiklav 1000 mg,P201230-0004,F2,1.0,กล่อง,195.0,195,97.0,วันหยุดพิเศษ,True,24.4,0.0
BL201230-056,2020-12-30,19:01,C01-0000,C0142,CETRIzin แผง,P201201-0005,F2,5.0,แผง,20.0,100,68.0,วันหยุดพิเศษ,True,24.4,0.0
BL201230-058,2020-12-30,19:13,C01-0000,M0216,Minra Drops,P201124-0006,B1,1.0,ขวด,58.0,58,25.5,วันหยุดพิเศษ,True,24.4,0.0
BL201230-059,2020-12-30,19:33,C01-0000,C0131,CANAZOL-Be CREAM 5 GM,P201020-0066,F2,1.0,หลอด,40.0,40,20.0,วันหยุดพิเศษ,True,24.4,0.0
BL201229-009,2020-12-29,11:39,C01-0000,B0140,BETAMETHASONE-N GPO 15 G,P201208-0022,F2,1.0,หลอด,65.0,65,29.0,,False,24.4,0.0
BL201229-009,2020-12-29,11:39,C01-0000,F0083,Ciprofex 500 mg,P201208-0033,F2,1.0,แผง,70.0,70,48.0,,False,24.4,0.0
